label,scenario_type,style,vessel,call_sign,mmsi,location,weather,pob,has_codeword,codeword_type,codeword,text
Routine,position_report,informal,,4XAB1,653035110,5 nm west of Haifa,,,False,NONE,,"Uh, station listening, we’re at 5 nm west of Haifa… call sign 4XAB1, MMSI 653035110. Just giving our position report, please confirm you copy."
Routine,radio_check,informal,,4XCD2,,Eilat Marina,,,False,NONE,,"Eilat Marina, anyone on VHF copy? This is call sign 4XCD2, just doing a radio check, can you hear me?"
Routine,position_report,third_party,SEA BREEZE,4XCD2,653778756,Hadera power station area,heavy rain,POB UNKNOWN,False,NONE,,"RELAY, RELAY, RELAY. RECEIVED FROM SEA BREEZE. SEA BREEZE, call sign 4XCD2, MMSI 653778756, REPORTING POSITION AT Hadera power station area. WEATHER HEAVY RAIN. OVER"
Routine,tow_request,informal,,4XAB1,693303705,Ashdod Port,,5 PERSONS ON BOARD,False,NONE,,"Any station, any station, we need a tow request at Ashdod Port. Call sign 4XAB1, MMSI 693303705. We’ve got 5 PERSONS ON BOARD and we can’t make way, need assistance towing us in, please respond."
Routine,position_report,informal,SEA BREEZE,,444703907,Ashdod Port,heavy rain,,False,NONE,,"Sea Breeze, MMSI 444703907… we’re in Ashdod Port right now, heavy rain, just giving our position report—please confirm you copy."
Routine,radio_check,informal,COASTAL SPIRIT,,276667861,,,,False,NONE,,"Coastal Spirit calling, can anyone hear me? Just need a quick radio check. MMSI 276667861."
Routine,position_report,informal,,4XCD2,548195935,5 nm west of Haifa,,,False,NONE,,"Uh, station listening, I’m at 5 nm west of Haifa, call sign 4XCD2, MMSI 548195935… just giving a position report, please confirm you copy."
Routine,tow_request,informal,,,428306011,Eilat Marina,,6 PERSONS ON BOARD,False,NONE,,"Any station, any station—need a tow at Eilat Marina. We’ve got 6 PERSONS ON BOARD and we can’t make way, stuck here and need assistance now. MMSI 428306011."
Routine,radio_check,third_party,BLUE HORIZON,4XEF3,349926919,Hadera power station area,strong wind,POB UNKNOWN,False,NONE,,"RELAY, RELAY, RELAY. RECEIVED RADIO CHECK FROM BLUE HORIZON. BLUE HORIZON, CALL SIGN 4XEF3, MMSI 349926919, REQUESTING RADIO CHECK IN Hadera power station area. WEATHER: strong wind. OVER."
Routine,radio_check,third_party,RED SEA RUNNER,4XGH4,588690725,5 nm west of Tel Aviv,strong wind,POB UNKNOWN,False,NONE,,"RELAY, RELAY, RELAY. RECEIVED  FROM RED SEA RUNNER, CALL SIGN 4XGH4, MMSI 588690725. REPORTING RADIO_CHECK REQUEST FROM RED SEA RUNNER AT 5 nm west of Tel Aviv. WEATHER STRONG WIND. OVER"
Routine,radio_check,third_party,SEA BREEZE,4XAB1,317734861,5 nm west of Tel Aviv,strong wind,POB UNKNOWN,False,NONE,,"RELAY, RELAY, RELAY. RECEIVED FROM SEA BREEZE, call sign 4XAB1, MMSI 317734861. SEA BREEZE REQUESTS RADIO CHECK. POSITION 5 nm west of Tel Aviv. WEATHER STRONG WIND. OVER"
Routine,radio_check,third_party,RED SEA RUNNER,4XAB1,613140753,Eilat Marina,poor visibility,POB UNKNOWN,False,NONE,,"RELAY, RELAY, RELAY. RECEIVED  FROM RED SEA RUNNER. This is Blue Horizon reporting a radio_check request from vessel RED SEA RUNNER, call sign 4XAB1, MMSI 613140753, at Eilat Marina. Weather: poor visibility. OVER"
Routine,radio_check,third_party,RED SEA RUNNER,4XAB1,322998994,Hadera power station area,choppy waves,POB UNKNOWN,False,NONE,,"RELAY, RELAY, RELAY. RECEIVED FROM RED SEA RUNNER. Radio check request from vessel RED SEA RUNNER, call sign 4XAB1, MMSI 322998994. Position: Hadera power station area. Weather: choppy waves. OVER"
Routine,position_report,third_party,SEA BREEZE,4XEF3,666825638,Eilat Marina,strong wind,POB UNKNOWN,False,NONE,,"RELAY, RELAY, RELAY

RECEIVED MESSAGE FROM SEA BREEZE, CALL SIGN 4XEF3, MMSI 666825638. SCENARIO TYPE POSITION REPORT. POSITION Eilat Marina. WEATHER strong wind. OVER"
Routine,radio_check,third_party,RED SEA RUNNER,4XCD2,745119047,Hadera power station area,rough seas,POB UNKNOWN,False,NONE,,"RELAY, RELAY, RELAY. RECEIVED FROM RED SEA RUNNER. RADIO CHECK REQUEST FROM RED SEA RUNNER, CALL SIGN 4XCD2, MMSI 745119047, IN POSITION Hadera power station area. WEATHER ROUGH SEAS. THIS IS BLUE HORIZON STANDING BY TO ASSIST WITH RADIO CHECK. OVER"
Routine,position_report,informal,,,,Eilat Marina,heavy rain,,False,NONE,,"We’re at Eilat Marina right now, heavy rain, just giving a position report—standing by."
Routine,position_report,informal,SEA BREEZE,,291969690,,choppy waves,4 PERSONS ON BOARD,False,NONE,,"Sea Breeze, MMSI 291969690… we’re reporting our position now, choppy waves out here and we’ve got 4 persons on board."
Routine,radio_check,informal,,4XCD2,,10 nm offshore of Herzliya Marina,,,False,NONE,,"Hello, hello—any station, can you hear 4XCD2? I’m 10 nm offshore of Herzliya Marina, trying a radio check, not sure if this VHF’s working. Please reply if you copy."
Routine,position_report,third_party,MEDITERRANEAN DREAM,4XLM6,600957212,Eilat Marina,poor visibility,POB UNKNOWN,False,NONE,,"RELAY, RELAY, RELAY

RECEIVED DISTRESS MESSAGE FROM MEDITERRANEAN DREAM, CALL SIGN 4XLM6, MMSI 600957212. REPORTING POSITION Eilat Marina. SCENARIO TYPE POSITION REPORT. WEATHER POOR VISIBILITY. OVER"
Routine,position_report,informal,,,,5 nm west of Haifa,,,False,NONE,,"Uh, anyone copy? I’m about 5 nm west of Haifa… just giving my position report, 5 nm west of Haifa."
Routine,position_report,informal,,4XCD2,,Eilat Marina,choppy waves,5 PERSONS ON BOARD,False,NONE,,"Uh, station listening—this is call sign 4XCD2, we’re at Eilat Marina. Position report: Eilat Marina. We’ve got choppy waves here and 5 PERSONS ON BOARD."
Routine,tow_request,third_party,MEDITERRANEAN DREAM,4XCD2,301281557,Netanya coastline,rough seas,POB UNKNOWN,False,NONE,,"RELAY, RELAY, RELAY

RECEIVED DISTRESS CALL FROM MEDITERRANEAN DREAM, CALL SIGN 4XCD2, MMSI 301281557. REPORTING TOW REQUEST. POSITION Netanya coastline. WEATHER rough seas. OVER"
Routine,position_report,third_party,MEDITERRANEAN DREAM,4XGH4,258165865,Ashdod Port,choppy waves,POB UNKNOWN,False,NONE,,"RELAY, RELAY, RELAY. RECEIVED FROM MEDITERRANEAN DREAM. POSITION REPORT: MEDITERRANEAN DREAM, CALL SIGN 4XGH4, MMSI 258165865, LOCATED AT Ashdod Port. WEATHER: choppy waves. OVER"
Routine,position_report,third_party,COASTAL SPIRIT,4XEF3,317326729,10 nm offshore of Herzliya Marina,strong wind,POB UNKNOWN,False,NONE,,"RELAY, RELAY, RELAY. RECEIVED FROM COASTAL SPIRIT. COASTAL SPIRIT, call sign 4XEF3, MMSI 317326729, REPORTING POSITION AT 10 nm offshore of Herzliya Marina. WEATHER: strong wind. OVER"
Routine,position_report,third_party,BLUE HORIZON,4XGH4,397018781,Eilat Marina,heavy rain,POB UNKNOWN,False,NONE,,"RELAY, RELAY, RELAY. RECEIVED FROM BLUE HORIZON. BLUE HORIZON, call sign 4XGH4, MMSI 397018781, REPORTING POSITION AT Eilat Marina. WEATHER HEAVY RAIN. OVER"
Routine,tow_request,informal,,4XAB1,453810544,Netanya coastline,strong wind,,False,NONE,,"Coast Guard, anyone copy? We need a tow request, we’re in trouble off Netanya coastline. Strong wind’s pushing us, we can’t make headway and we’re drifting. Call sign 4XAB1, MMSI 453810544. Please send assistance, we need a tow fast."
Routine,position_report,third_party,BLUE HORIZON,4XGH4,262959284,Netanya coastline,strong wind,POB UNKNOWN,False,NONE,,"RELAY, RELAY, RELAY. RECEIVED DISTRESS CALL FROM BLUE HORIZON, CALL SIGN 4XGH4, MMSI 262959284. POSITION REPORT: Netanya coastline. WEATHER: strong wind. OVER"
