text,label,trap_type
This is NOT a distress situation. Engine running normally.,Routine,negation
MAYDAY cancelled. Situation resolved. All safe.,Routine,negation
No longer require assistance. False alarm.,Routine,negation
There is NO fire. Smoke from cooking only.,Routine,negation
"MAYDAY MAYDAY MAYDAY. This is a drill. I repeat, this is a drill.",Routine,drill
Exercise exercise exercise. Simulated distress call.,Routine,drill
PAN PAN. Training exercise in progress.,Routine,drill
Relay message: Vessel reported fire yesterday. Currently under control.,Routine,relay
Coast Guard received distress call 2 hours ago. Rescue completed.,Routine,relay
Vessel Blue Star. Fire up the engines. Ready to depart.,Routine,ambiguous
All hands on deck for man overboard drill.,Routine,ambiguous
Testing emergency equipment. Sounding general alarm.,Routine,ambiguous
Taking on water rapidly. 12 persons on board. Request immediate assistance.,Distress,real_no_codeword
Engine room fire. Preparing to abandon ship. Position 45N 12W.,Distress,real_no_codeword
Medical emergency. Crew member unconscious. Need helicopter evacuation.,Urgency,real_no_codeword
